customer_id,event,time
167,start,176.43190152195282
167,depart,176.60811965413532
168,arrive,177.00543179713966
168,start,177.00543179713966
168,depart,177.3402753617692
169,arrive,178.14739993889745
169,start,178.14739993889745
170,arrive,178.65374204514586
169,depart,179.48336037443772
170,start,179.48336037443772
171,arrive,179.82905327140972
170,depart,179.94794996179945
171,start,179.94794996179945
171,depart,180.3610731160885
172,arrive,181.94843570002035
172,start,181.94843570002035
173,arrive,182.85703182427116
174,arrive,183.41579216588767
172,depart,184.08678053024173
173,start,184.08678053024173
175,arrive,184.35134321038137
173,depart,184.44375559002242
174,start,184.44375559002242
174,depart,184.98780765554815
175,start,184.98780765554815
175,depart,185.89445984805906
176,arrive,187.79399573423402
176,start,187.79399573423402
176,depart,187.95596006716013
177,arrive,189.23385879426232
177,start,189.23385879426232
177,depart,189.338071506296
178,arrive,189.57129940177595
178,start,189.57129940177595
178,depart,189.64968623994702
179,arrive,190.83916199380258
179,start,190.83916199380258
179,depart,192.2420857291453
180,arrive,192.4137470503753
180,start,192.4137470503753
181,arrive,192.60781046428687
182,arrive,193.26092979534852
183,arrive,193.7353036076448
184,arrive,193.7369428765224
185,arrive,194.00050485776978
186,arrive,194.22140227424623
180,depart,194.39550219945787
181,start,194.39550219945787
181,depart,194.40832285389607
182,start,194.40832285389607
182,depart,194.7091711337308
183,start,194.7091711337308
183,depart,194.96816480584562
184,start,194.96816480584562
184,depart,195.66032283516705
185,start,195.66032283516705
185,depart,195.86765886791312
186,start,195.86765886791312
187,arrive,197.75548137560054
186,depart,197.7967230516806
187,start,197.7967230516806
187,depart,198.24973984450546
188,arrive,199.23906300607356
188,start,199.23906300607356
189,arrive,199.28210645580089
188,depart,199.51427143146276
189,start,199.51427143146276
189,depart,199.86242544788595
190,arrive,200.36159596359164
190,start,200.36159596359164
190,depart,200.44374826941961
191,arrive,201.40253418318358
191,start,201.40253418318358
192,arrive,201.53544323774898
193,arrive,201.7650614384974
191,depart,201.9541182985479
192,start,201.9541182985479
192,depart,202.3004728114524
193,start,202.3004728114524
193,depart,202.87720602171305
194,arrive,203.97435666304253
194,start,203.97435666304253
194,depart,205.26024059235436
195,arrive,206.25422773892163
195,start,206.25422773892163
195,depart,206.51523678042184
196,arrive,208.25601891162552
196,start,208.25601891162552
196,depart,208.58107143795678
197,arrive,209.03594472828348
197,start,209.03594472828348
197,depart,210.71285943712857
198,arrive,211.02226675786886
198,start,211.02226675786886
199,arrive,211.56431473582884
200,arrive,212.08220996138513
201,arrive,212.35706194592842
202,arrive,212.36128157213255
198,depart,212.36415821864247
199,start,212.36415821864247
203,arrive,212.65359126694625
204,arrive,212.74215843304796
199,depart,212.96009125091675
200,start,212.96009125091675
205,arrive,213.0421587084463
200,depart,213.2296629062715
201,start,213.2296629062715
201,depart,213.24598279346918
202,start,213.24598279346918
202,depart,214.0754701845593
203,start,214.0754701845593
203,depart,214.74285370178018
204,start,214.74285370178018
204,depart,214.9710587723488
205,start,214.9710587723488
205,depart,214.984177007137
206,arrive,216.23303560859318
206,start,216.23303560859318
206,depart,216.7358004454569
207,arrive,217.16446276363686
207,start,217.16446276363686
207,depart,217.83770217426803
208,arrive,217.85285558917002
208,start,217.85285558917002
209,arrive,217.92292363601518
210,arrive,218.30901968219254
208,depart,218.7923983105513
209,start,218.7923983105513
209,depart,219.0220738233752
210,start,219.0220738233752
210,depart,219.11537765881255
211,arrive,221.5001588194728
211,start,221.5001588194728
211,depart,222.43445574156044
